
Tracing route to pantheon-systems.map.fastly.net [151.101.130.133]
over a maximum of 30 hops:

  1     1 ms     1 ms     1 ms  192.168.1.1 
  2    17 ms   246 ms    20 ms  10.163.6.1 
  3     8 ms    11 ms     8 ms  10.162.254.10 
  4     *        *        *     Request timed out.
  5     *        *        *     Request timed out.
  6    12 ms    15 ms    16 ms  172.29.1.17 
  7    12 ms    14 ms    23 ms  172.29.12.114 
  8     *        *        *     Request timed out.
  9     *        *        *     Request timed out.
 10     *        *        *     Request timed out.
 11     *        *        *     Request timed out.
 12     *        *        *     Request timed out.
 13     *        *        *     Request timed out.
 14     *        *        *     Request timed out.
 15    13 ms    13 ms    17 ms  151.101.130.133 

Trace complete.
