
Tracing route to pantheon-systems.map.fastly.net [151.101.130.133]
over a maximum of 30 hops:

  1    11 ms    45 ms     6 ms  192.168.150.192 
  2    47 ms   234 ms    16 ms  192.168.1.1 
  3    24 ms    30 ms    19 ms  10.163.6.1 
  4    20 ms    25 ms    24 ms  10.162.254.10 
  5     *        *        *     Request timed out.
  6     *        *        *     Request timed out.
  7    26 ms    37 ms    49 ms  172.29.1.17 
  8    23 ms    22 ms    24 ms  172.29.12.114 
  9     *        *        *     Request timed out.
 10     *        *        *     Request timed out.
 11     *        *        *     Request timed out.
 12     *        *        *     Request timed out.
 13     *        *        *     Request timed out.
 14     *        *        *     Request timed out.
 15     *        *        *     Request timed out.
 16    28 ms    32 ms    18 ms  151.101.130.133 

Trace complete.
